Date,Metric,Value
2025-08-09,Siemens,41.9
2025-08-09,Mitsubishi,20.9
2025-08-09,Omron,14.0
2025-08-09,GE FANUC,9.3
2025-08-09,Allen Bradley,7.0
2025-08-09,Panasonic,4.7
2025-08-09,Хэвийн,56.8
2025-08-09,Үйлдвэрийн дэмжлэг дууссан,43.2
2025-08-09,ERP,2.0
2025-08-09,MES,1.0
2025-08-09,SCADA,3.0
2025-08-09,IO түвшин,4.0
2025-08-09,Үйлдвэрлэлийн процесс,3.0
2025-08-09,Бизнес давхарга,1.0
2025-08-09,Функционал давхарга,1.0
2025-08-09,Мэдээллийн давхарга,0.0
2025-08-09,Холбооны давхарга,2.0
2025-08-09,Интеграцийн давхарга,1.0
2025-08-09,Объектын давхарга,3.0
